Sweeping 200 app_screens from dank-fresh-20260427.db (skip_existing=False, port=9225, out=/Users/mattpacione/declarative-build/audit/sprint-2-station-parity-20260427-205500/dank)
[95/200] screen= 95 DRIFT   t=  8.0s parity=0.7894736842105263 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[96/200] screen= 96 DRIFT   t=  6.0s parity=0.8367346938775511 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[97/200] screen= 97 DRIFT   t=  9.0s parity=0.8666666666666667 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[98/200] screen= 98 DRIFT   t=117.0s parity=0.8666666666666667 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[99/200] screen= 99 DRIFT   t=333.0s parity=0.8666666666666667 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[100/200] screen=100 DRIFT   t= 57.1s parity=0.803921568627451 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[101/200] screen=101 DRIFT   t=  1.8s parity=0.7777777777777778 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[102/200] screen=102 DRIFT   t=  1.4s parity=0.7777777777777778 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[103/200] screen=103 DRIFT   t=  1.5s parity=0.7714285714285715 errs=8 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[104/200] screen=104 DRIFT   t=  2.0s parity=0.8611111111111112 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[105/200] screen=105 DRIFT   t=  1.6s parity=0.8611111111111112 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[106/200] screen=106 DRIFT   t=  2.3s parity=0.8548387096774194 errs=9 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[107/200] screen=107 DRIFT   t=  2.1s parity=0.8901098901098901 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[108/200] screen=108 DRIFT   t=  1.8s parity=0.8913043478260869 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[109/200] screen=109 DRIFT   t=  1.9s parity=0.84375 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[110/200] screen=110 DRIFT   t=  2.0s parity=0.8387096774193549 errs=10 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[111/200] screen=111 DRIFT   t=  2.4s parity=0.8571428571428571 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[112/200] screen=112 DRIFT   t=  3.0s parity=0.8629032258064516 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[113/200] screen=113 DRIFT   t=  3.2s parity=0.864 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[114/200] screen=114 DRIFT   t=  3.4s parity=0.875 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[115/200] screen=115 DRIFT   t=  2.8s parity=0.8888888888888888 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[116/200] screen=116 DRIFT   t=  3.1s parity=0.8873239436619719 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[117/200] screen=117 DRIFT   t=  2.9s parity=0.8904109589041096 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[118/200] screen=118 DRIFT   t=  2.7s parity=0.8695652173913043 errs=15 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[119/200] screen=119 DRIFT   t=  2.8s parity=0.8559322033898306 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[120/200] screen=120 DRIFT   t=  2.9s parity=0.8791946308724832 errs=18 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[121/200] screen=121 DRIFT   t=  3.0s parity=0.8775510204081632 errs=18 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[122/200] screen=122 DRIFT   t=  2.9s parity=0.8758620689655172 errs=18 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[123/200] screen=123 DRIFT   t=  2.8s parity=0.8629032258064516 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[124/200] screen=124 DRIFT   t=  2.5s parity=0.8415841584158416 errs=16 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[125/200] screen=125 DRIFT   t= 18.1s parity=0.8440366972477065 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
[126/200] screen=126 DRIFT   t= 18.0s parity=0.8454545454545455 errs=17 kinds=layout_sizing_h_mismatch,layout_sizing_v_mismatch,layout_sizing_h_mismatch 
