scope,rank,anchor_h,offset_h,anchor_v,offset_v,count,pct,cum_pct
ALL,188,scale,non-bucket,scale,48,3,0.01,99.71
ALL,189,stretch,0,bottom,-1,3,0.01,99.72
ALL,190,stretch,16,bottom,non-bucket,3,0.01,99.73
ALL,191,trailing,non-bucket,bottom,12,3,0.01,99.74
ALL,192,leading,8,bottom,8,3,0.01,99.75
ALL,193,trailing,16,bottom,non-bucket,3,0.01,99.75
ALL,194,stretch,10,bottom,non-bucket,3,0.01,99.76
ALL,195,trailing,non-bucket,bottom,8,3,0.01,99.77
ALL,196,scale,96,center,-14,3,0.01,99.78
ALL,197,trailing,10,bottom,non-bucket,3,0.01,99.79
ALL,198,center,0,center,-1,3,0.01,99.79
ALL,199,stretch,0,scale,8,3,0.01,99.80
ALL,200,stretch,0,scale,16,3,0.01,99.81
ALL,201,stretch,0,scale,20,2,0.01,99.82
ALL,202,scale,non-bucket,scale,64,2,0.01,99.82
ALL,203,scale,non-bucket,scale,96,2,0.01,99.83
ALL,204,stretch,12,stretch,non-bucket,2,0.01,99.83
ALL,205,center,-2,bottom,0,2,0.01,99.84
ALL,206,leading,non-bucket,top,-2,2,0.01,99.84
ALL,207,trailing,0,top,non-bucket,2,0.01,99.85
ALL,208,leading,non-bucket,top,4,2,0.01,99.85
ALL,209,center,non-bucket,bottom,non-bucket,2,0.01,99.86
ALL,210,stretch,6,stretch,6,2,0.01,99.86
ALL,211,center,-12,bottom,negative-non-bucket,2,0.01,99.87
ALL,212,center,-12,top,non-bucket,2,0.01,99.87
ALL,213,leading,0,bottom,2,2,0.01,99.88
ALL,214,trailing,-1,top,non-bucket,2,0.01,99.88
ALL,215,stretch,12,stretch,12,2,0.01,99.89
ALL,216,center,negative-non-bucket,center,non-bucket,1,0.00,99.89
ALL,217,scale,14,scale,0,1,0.00,99.89
ALL,218,center,2,bottom,negative-non-bucket,1,0.00,99.90
ALL,219,leading,non-bucket,top,192,1,0.00,99.90
ALL,220,leading,0,bottom,40,1,0.00,99.90
ALL,221,leading,non-bucket,center,negative-non-bucket,1,0.00,99.90
ALL,222,leading,0,bottom,32,1,0.00,99.91
ALL,223,leading,72,center,-14,1,0.00,99.91
ALL,224,scale,8,scale,8,1,0.00,99.91
ALL,225,scale,12,scale,6,1,0.00,99.92
ALL,226,center,144,top,non-bucket,1,0.00,99.92
ALL,227,scale,4,scale,6,1,0.00,99.92
ALL,228,scale,-1,scale,-2,1,0.00,99.92
ALL,229,leading,negative-non-bucket,top,-6,1,0.00,99.93
ALL,230,leading,0,bottom,16,1,0.00,99.93
ALL,231,leading,non-bucket,center,-6,1,0.00,99.93
ALL,232,center,56,top,non-bucket,1,0.00,99.93
ALL,233,leading,12,top,non-bucket,1,0.00,99.94
ALL,234,center,2,center,2,1,0.00,99.94
ALL,235,leading,28,top,0,1,0.00,99.94
ALL,236,leading,0,bottom,4,1,0.00,99.94
ALL,237,trailing,negative-non-bucket,top,28,1,0.00,99.95
ALL,238,trailing,4,bottom,negative-non-bucket,1,0.00,99.95
ALL,239,center,-1,top,0,1,0.00,99.95
ALL,240,trailing,-2,top,96,1,0.00,99.96
ALL,241,leading,20,center,4,1,0.00,99.96
ALL,242,leading,192,top,non-bucket,1,0.00,99.96
ALL,243,leading,non-bucket,top,56,1,0.00,99.96
ALL,244,leading,128,top,12,1,0.00,99.97
ALL,245,leading,0,bottom,non-bucket,1,0.00,99.97
ALL,246,center,4,stretch,non-bucket,1,0.00,99.97
ALL,247,trailing,non-bucket,bottom,-128,1,0.00,99.97
ALL,248,center,2,stretch,non-bucket,1,0.00,99.98
ALL,249,leading,non-bucket,bottom,384,1,0.00,99.98
ALL,250,leading,64,top,0,1,0.00,99.98
ALL,251,leading,0,bottom,8,1,0.00,99.98
ALL,252,trailing,-56,top,64,1,0.00,99.99
ALL,253,trailing,8,bottom,-56,1,0.00,99.99
ALL,254,leading,48,top,0,1,0.00,99.99
ALL,255,leading,0,bottom,6,1,0.00,99.99
ALL,256,trailing,negative-non-bucket,top,48,1,0.00,100.00
ALL,257,trailing,6,bottom,negative-non-bucket,1,0.00,100.00
LLM_EMITTED,1,center,0,top,non-bucket,594,7.03,7.03
LLM_EMITTED,2,leading,0,top,non-bucket,482,5.70,12.74
LLM_EMITTED,3,stretch,0,stretch,0,465,5.50,18.24
LLM_EMITTED,4,leading,non-bucket,stretch,0,386,4.57,22.81
LLM_EMITTED,5,stretch,8,stretch,8,266,3.15,25.96
LLM_EMITTED,6,leading,0,top,0,266,3.15,29.10
LLM_EMITTED,7,leading,0,bottom,0,266,3.15,32.25
LLM_EMITTED,8,trailing,0,top,0,266,3.15,35.40
LLM_EMITTED,9,trailing,0,bottom,0,266,3.15,38.55
LLM_EMITTED,10,center,negative-non-bucket,top,non-bucket,263,3.11,41.66
LLM_EMITTED,11,leading,non-bucket,top,non-bucket,249,2.95,44.61
LLM_EMITTED,12,stretch,0,bottom,non-bucket,244,2.89,47.50
