screen_id,node_id,figma_node_id,node_type,gt_x,gt_y,gt_w,gt_h,rec_x,rec_y,rec_w,rec_h,iou,al_reachable,local_iou,visible
134,6921,5749:83749,FRAME,12451.0,15191.0,182.0,6.0,11754.0,15392.0,182.0,6.0,0.000000,0,1.000000,1
134,6922,5749:83750,RECTANGLE,12451.0,15192.0,60.0,4.0,11754.0,15393.0,60.0,4.0,0.000000,0,1.000000,1
134,6923,5749:83751,RECTANGLE,12605.0,15179.0,30.0,30.0,11754.0,15380.0,30.0,30.0,0.000000,0,0.000000,1
309,71711,5749:99348,FRAME,23012.0,11537.0,834.0,1194.0,23012.0,11537.0,834.0,1194.0,1.000000,0,,1
309,71712,5749:99349,FRAME,23069.0,11817.0,720.0,740.0,23069.0,11764.0,720.0,740.0,0.866330,0,0.866330,1
309,71774,5749:99407,FRAME,23281.0,12614.0,296.0,60.0,23281.0,11537.0,296.0,60.0,0.000000,0,0.000000,0
309,71817,5749:99414,RECTANGLE,23012.0,11676.0,834.0,1055.0,23012.0,11537.0,834.0,1055.0,0.767169,0,0.767169,1
309,71818,5749:99415,FRAME,23217.0,11932.0,427.0,742.0,23012.0,11989.0,427.0,742.0,0.315761,0,0.315761,1
309,71977,5749:99505,FRAME,23224.0,11697.0,410.0,60.0,23224.0,11537.0,410.0,60.0,0.000000,0,0.000000,0
309,72026,5749:99513,FRAME,23341.0,12614.0,176.0,60.0,23341.0,11537.0,176.0,60.0,0.000000,0,0.000000,0
309,72045,5749:99517,FRAME,23275.0,11697.0,307.0,60.0,23275.5,11537.0,307.0,60.0,0.000000,0,0.000000,0
309,72058,5749:99520,FRAME,23238.0,12614.0,381.0,60.0,23238.5,11537.0,381.0,60.0,0.000000,0,0.000000,0
309,72077,5749:99524,FRAME,23273.0,11768.0,264.0,60.0,23297.0,11537.0,264.0,60.0,0.000000,0,0.000000,0
309,72096,5749:99527,INSTANCE,23012.0,11565.0,834.0,111.0,23012.0,12620.0,834.0,111.0,0.000000,0,0.000000,1
309,72219,5749:99528,INSTANCE,23012.0,12697.0,834.0,34.0,23012.0,11537.0,834.0,34.0,0.000000,0,0.000000,1
309,72221,5749:99529,INSTANCE,23012.0,11537.0,834.0,75.0,23012.0,11537.0,834.0,75.0,1.000000,0,1.000000,1
309,72247,5749:99530,INSTANCE,23012.0,11537.0,834.0,24.0,23012.0,11537.0,834.0,24.0,1.000000,0,1.000000,1
309,71713,5749:99350,FRAME,23069.0,11817.0,720.0,20.0,23069.0,11764.0,720.0,20.0,0.000000,1,1.000000,1
309,71775,5749:99408,INSTANCE,23285.0,12618.0,48.0,52.0,23285.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,71819,5749:99416,FRAME,23241.0,11954.0,379.0,40.0,23036.0,12011.0,379.0,40.0,0.000000,1,1.000000,1
309,71978,5749:99506,INSTANCE,23228.0,11701.0,114.0,52.0,23228.0,11541.0,114.0,52.0,0.000000,1,1.000000,1
309,72027,5749:99514,INSTANCE,23345.0,12618.0,48.0,52.0,23345.0,11541.0,48.0,52.0,0.000000,1,1.000000,1
309,72046,5749:99518,INSTANCE,23279.0,11701.0,183.0,52.0,23279.5,11541.0,183.0,52.0,0.000000,1,1.000000,1
309,72059,5749:99521,INSTANCE,23242.0,12618.0,261.0,52.0,23242.5,11541.0,261.0,52.0,0.000000,1,1.000000,1
309,72078,5749:99525,INSTANCE,23277.0,11772.0,146.0,52.0,23301.0,11541.0,146.0,52.0,0.000000,1,1.000000,1
309,72097,I5749:99527;5749:84277,FRAME,23012.0,11612.0,536.0,64.0,23012.0,12667.0,536.0,64.0,0.000000,0,1.000000,1
